address,sqft,info,price,url,latitude,longitude
"527 Mclaughlin Ave #612, San Jose, CA 95116",285,1 bd1 ba285 sqft,"$150,000",https://www.zillow.com/homedetails/527-McLaughlin-Ave-612-San-Jose-CA-95116/2068461853_zpid/,37.339108,-121.861856
"5308 Borneo Cir, San Jose, CA 95123","1,122","2 bds2 ba1,122 sqft","$609,000",https://www.zillow.com/homedetails/5308-Borneo-Cir-San-Jose-CA-95123/19827465_zpid/,37.255732,-121.829183
"6441 Hesket Ct, San Jose, CA 95123","1,868","4 bds2 ba1,868 sqft","$1,299,888",https://www.zillow.com/homedetails/6441-Hesket-Ct-San-Jose-CA-95123/19824399_zpid/,37.227404,-121.810192
"1850 Evans Ln Space 42, San Jose, CA 95125",,2 bds2 ba-- sqft,"$199,999",https://www.zillow.com/homedetails/1850-Evans-Ln-SPACE-42-San-Jose-CA-95125/153379897_zpid/,37.297892,-121.875552
"1194 S 8th St, San Jose, CA 95112","1,292","3 bds3 ba1,292 sqft","$15,000,000",https://www.zillow.com/homedetails/1194-S-8th-St-San-Jose-CA-95112/19714199_zpid/,37.322198,-121.869663
"1787 Deer Creek Ct, San Jose, CA 95148","1,780","4 bds3 ba1,780 sqft","$1,500,000",https://www.zillow.com/homedetails/1787-Deer-Creek-Ct-San-Jose-CA-95148/19790544_zpid/,37.352352,-121.793507
"5248 Bobbie Ave, San Jose, CA 95130","1,289","4 bds2 ba1,289 sqft","$1,970,000",https://www.zillow.com/homedetails/5248-Bobbie-Ave-San-Jose-CA-95130/19660293_zpid/,37.280705,-121.993566
"3173 Neal Ave, San Jose, CA 95117","3,950","9 bds6 ba3,950 sqft","$2,099,000",https://www.zillow.com/homedetails/3173-Neal-Ave-San-Jose-CA-95117/153277469_zpid/,37.312098,-121.951726
"311 3115th St #19, San Jose, CA 95116","2,554","5 bds3 ba2,554 sqft","$1,600,000",https://www.zillow.com/homedetails/311-3115th-St-19-San-Jose-CA-95116/2068792882_zpid/,37.348991,-121.850945
"6953 Calhoun Ave, Van Nuys, CA 91405","2,888","5 bds4 ba2,888 sqft","$1,395,000",https://www.zillow.com/homedetails/6953-Calhoun-Ave-Van-Nuys-CA-91405/19959289_zpid/,34.1972,-118.442502
"623 S Chapel Ave, Alhambra, CA 91801","2,000","5 bds3 ba2,000 sqft","$1,500,000",https://www.zillow.com/homedetails/623-S-Chapel-Ave-Alhambra-CA-91801/20710166_zpid/,34.089428,-118.119949
"428 E 138th St, Los Angeles, CA 90061","1,826","4 bds2 ba1,826 sqft","$700,000",https://www.zillow.com/homedetails/428-E-138th-St-Los-Angeles-CA-90061/20990046_zpid/,33.906429,-118.266595
"1035 E Brenner Pl, Long Beach, CA 90813",560,2 bds1 ba560 sqft,"$420,000",https://www.zillow.com/homedetails/1035-E-Brenner-Pl-Long-Beach-CA-90813/21233072_zpid/,33.776545,-118.179191
"1010 E Washington Ave Unit 80, Escondido, CA 92025","1,066","2 bds1 ba1,066 sqft","$335,000",https://www.zillow.com/homedetails/1010-E-Washington-Ave-UNIT-80-Escondido-CA-92025/16692160_zpid/,33.131604,-117.071573
"34548 Avenue H, Yucaipa, CA 92399","3,995","10 bds4 ba3,995 sqft","$899,000",https://www.zillow.com/homedetails/34548-Avenue-H-Yucaipa-CA-92399/17397357_zpid/,34.010979,-117.050916
"11328 Cactus Rd, Victorville, CA 92392","1,596","3 bds2 ba1,596 sqft","$849,900",https://www.zillow.com/homedetails/11328-Cactus-Rd-Victorville-CA-92392/69005805_zpid/,34.456315,-117.411216
"41150 Lahontan Dr Apt E-1, Big Bear Lake, CA 92315",740,2 bds2 ba740 sqft,"$118,000",https://www.zillow.com/homedetails/41150-Lahontan-Dr-APT-E-1-Big-Bear-Lake-CA-92315/2071513329_zpid/,34.246077,-116.9046
"Silver Rock Rd, Pinon Hills, CA 92372",,2.21 acres lot,"$28,000",https://www.zillow.com/homedetails/Silver-Rock-Rd-Pinon-Hills-CA-92372/137993469_zpid/,34.465709,-117.616998
"4723 La Villa Mari, Marina Del Rey, CA 90292","1,582","3 bds3 ba1,582 sqft","$1,247,000",https://www.zillow.com/homedetails/4723-La-Villa-Mari-Marina-Del-Rey-CA-90292/2068571865_zpid/,33.981598,-118.436709
"1000 Windy Pass Space 45, Barstow, CA 92311",720,2 bds1 ba720 sqft,"$20,000",https://www.zillow.com/homedetails/1000-Windy-Pass-SPACE-45-Barstow-CA-92311/111050607_zpid/,34.878526,-117.011609
"47513 93rd St W, Lancaster, CA 93536",900,3 bds1 ba900 sqft,"$367,000",https://www.zillow.com/homedetails/47513-93rd-St-W-Lancaster-CA-93536/20314182_zpid/,34.745758,-118.297616
"31249 Indian Summer Rd, Temecula, CA 92591",,4.55 acres lot,"$500,000",https://www.zillow.com/homedetails/31249-Indian-Summer-Rd-Temecula-CA-92591/95873357_zpid/,33.544216,-117.114185
"324 Mason Rd, Vista, CA 92084","2,465","4 bds3 ba2,465 sqft","$850,000",https://www.zillow.com/homedetails/324-Mason-Rd-Vista-CA-92084/16627459_zpid/,33.244315,-117.240401
"2120 Whitman Way, Corona, CA 92880","3,032","5 bds3 ba3,032 sqft","$985,000",https://www.zillow.com/homedetails/2120-Whitman-Way-Corona-CA-92880/17785637_zpid/,33.90966,-117.596666
"2189 Summitridge Dr, Beverly Hills, CA 90210","4,173","4 bds6 ba4,173 sqft","$7,000,000",https://www.zillow.com/homedetails/2189-Summitridge-Dr-Beverly-Hills-CA-90210/20533102_zpid/,34.113114,-118.423609
"33559 Abbey Rd, Temecula, CA 92592","2,973","5 bds3 ba2,973 sqft","$899,000",https://www.zillow.com/homedetails/33559-Abbey-Rd-Temecula-CA-92592/69280049_zpid/,33.478163,-117.069792
